[garbage]
name = "Garbage"
sprite = garbage_spr
color = 1


[slime]
name = "Slime"
sprite = slime_spr

[bone]
name = "Bone"
sprite = hardened_bone_spr

[fur]
name = "Fur"
sprite = fur_spr

[eye]
name = "Eye"
sprite = eyematerial_spr


[bone_hardened]
name = "Hardened Bone"
sprite = hardened_bone_spr

[muscle]
name = "Muscle"
sprite = muscle_spr


[feathers]
name = "Feathers"
sprite = feather_spr

[tooth]
name = "Teeth"
sprite = tooth_spr


[tentacle]
name = "Tentacle"
sprite = tentacle_spr
scale = 0.25
color = 0

[leg]
name = "Leg"
sprite = leg_spr
scale = 0.25
color = 0

[wing]
name = "Wing"
sprite = wing_spr
scale = 0.25


[jaw]
name = "Jaw"
sprite = jaw_spr
scale = 0.25

[jaw_beaked]
name = "Beak Jaw"
sprite = beaked_jaw_spr
scale = 0.25

[mouth_toothy]
name = "Mouth"
b-sprite = teeth_spr
sprite = toothed_mouth_lip_spr
scale = 0.25
color = 0

[mouth_beaked]
name = "Beak"
sprite = beaked_mouth_spr
scale = 0.25


[body_fur]
name = "Furry Body"
sprite = fur_body_spr
scale = 0.2
color = 1

[body_feathers]
name = "Feathery Body"
sprite = feathered_body_spr
scale = 0.2
color = 1

[body_scaly]
name = "Scaly Body"
sprite = scaly_body_spr
scale = 0.2
color = 1

[body_skin]
name = "Skin Body"
sprite = skin_body_spr
scale = 0.2
color = 1

[body_slime]
name = "Slimy Body"
sprite = slime_body_spr
scale = 0.2
color = 1
